Name,URL
The Futur,https://www.youtube.com/channel/UC-b3c7kxa5vU-bnmaROgvog
99u,https://www.youtube.com/user/99Uvideos
Creative Mornings,https://www.youtube.com/user/Creativemornings
High Resolution,https://www.youtube.com/channel/UCzBkNPSxw15qrW_Y8p-oCUw
Talks at Google,https://www.youtube.com/channel/UCbmNph6atAoGfqLoCL_duAg
